id_empresa,nombre_empresa,matricula,mmsi,nro_omi,nombre,latitud,longitud,fecha,rumbo,velocidad,emp,dnid,mem,eslora,fecha_local
3,Elec. Naval,0000010,701000605,0,ANA III,-45.862,-67.4645,2026-02-06 00:05:00,195,0,005,08466,124,19.95,2026-02-05 21:05:00
3,Elec. Naval,0000010,701000605,0,ANA III,-45.862,-67.4645,2026-02-06 00:20:00,125,0,005,08466,124,19.95,2026-02-05 21:20:00
3,Elec. Naval,0000010,701000605,0,ANA III,-45.862,-67.4645,2026-02-06 00:35:00,165,0,005,08466,124,19.95,2026-02-05 21:35:00
3,Elec. Naval,0000010,701000605,0,ANA III,-45.862,-67.4645,2026-02-06 00:50:00,295,0,005,08466,124,19.95,2026-02-05 21:50:00
4,Navalstar,0000012,701000632,0,ESTRELLA NO 6,-47.47605,-64.203883333333333,2026-02-06 00:00:00,0,0.6,010,08616,045,55.85,2026-02-05 21:00:00
3,Elec. Naval,0000023,701000542,0,SAN JUAN B,-42.0225,-60.3075,2026-02-06 00:03:00,205,8.6,005,08466,073,39.94,2026-02-05 21:03:00
3,Elec. Naval,0000023,701000542,0,SAN JUAN B,-42.036666666666667,-60.3155,2026-02-06 00:10:00,200,7,005,08466,075,39.94,2026-02-05 21:10:00
3,Elec. Naval,0000023,701000542,0,SAN JUAN B,-42.052833333333333,-60.324666666666667,2026-02-06 00:18:00,200,8.1,005,08466,073,39.94,2026-02-05 21:18:00
3,Elec. Naval,0000023,701000542,0,SAN JUAN B,-42.0675,-60.333333333333333,2026-02-06 00:25:00,205,6.5,005,08466,075,39.94,2026-02-05 21:25:00
3,Elec. Naval,0000023,701000542,0,SAN JUAN B,-42.084166666666667,-60.343,2026-02-06 00:33:00,200,8.6,005,08466,073,39.94,2026-02-05 21:33:00
3,Elec. Naval,0000023,701000542,0,SAN JUAN B,-42.098833333333333,-60.352,2026-02-06 00:40:00,205,8.6,005,08466,075,39.94,2026-02-05 21:40:00
3,Elec. Naval,0000023,701000542,0,SAN JUAN B,-42.115833333333333,-60.361666666666667,2026-02-06 00:48:00,200,7.6,005,08466,073,39.94,2026-02-05 21:48:00
3,Elec. Naval,0000023,701000542,0,SAN JUAN B,-42.1305,-60.3705,2026-02-06 00:55:00,200,8.6,005,08466,075,39.94,2026-02-05 21:55:00
3,Elec. Naval,0000025,701000757,0,PEDRITO,-46.747833333333333,-62.1405,2026-02-06 00:14:00,25,9.2,005,08466,057,39.92,2026-02-05 21:14:00
3,Elec. Naval,0000025,701000757,0,PEDRITO,-46.713666666666667,-62.12,2026-02-06 00:29:00,15,9.2,005,08466,057,39.92,2026-02-05 21:29:00
3,Elec. Naval,0000025,701000757,0,PEDRITO,-46.677833333333333,-62.100833333333333,2026-02-06 00:45:00,15,8.1,005,08466,057,39.92,2026-02-05 21:45:00
3,Elec. Naval,0000025,701000757,0,PEDRITO,-46.6425,-62.082,2026-02-06 00:59:00,20,8.1,005,08466,057,39.92,2026-02-05 21:59:00
3,Elec. Naval,0000033,701007003,0,ANTONELLA,-43.594166666666667,-65.036166666666667,2026-02-06 00:14:00,175,0.5,005,08457,122,16.25,2026-02-05 21:14:00
3,Elec. Naval,0000033,701007003,0,ANTONELLA,-43.592,-65.036333333333333,2026-02-06 00:29:00,10,0.5,005,08457,122,16.25,2026-02-05 21:29:00
3,Elec. Naval,0000033,701007003,0,ANTONELLA,-43.588833333333333,-65.036333333333333,2026-02-06 00:44:00,20,0.5,005,08457,256,16.25,2026-02-05 21:44:00
3,Elec. Naval,0000033,701007003,0,ANTONELLA,-43.586166666666667,-65.036166666666667,2026-02-06 00:59:00,335,1.1,005,08457,122,16.25,2026-02-05 21:59:00
3,Elec. Naval,0000060,0,0,MANTO SAGRADO,-38.05,-57.537833333333333,2026-02-06 00:08:00,10,0,005,08457,232,15.08,2026-02-05 21:08:00
3,Elec. Naval,0000068,701037000,0,DON PEDRO,-47.291666666666667,-62.816666666666667,2026-02-06 00:04:00,180,3.2,005,08466,195,73.6,2026-02-05 21:04:00
3,Elec. Naval,0000068,701037000,0,DON PEDRO,-47.306333333333333,-62.8175,2026-02-06 00:19:00,185,3.8,005,08466,195,73.6,2026-02-05 21:19:00
3,Elec. Naval,0000068,701037000,0,DON PEDRO,-47.322,-62.820333333333333,2026-02-06 00:34:00,190,3.2,005,08466,195,73.6,2026-02-05 21:34:00
3,Elec. Naval,0000068,701037000,0,DON PEDRO,-47.3375,-62.822166666666667,2026-02-06 00:49:00,180,4.3,005,08466,195,73.6,2026-02-05 21:49:00
1,Sitrack,0000071,701030000,0,DON GAETANO,-41.959781646728516,-61.825401306152344,2026-02-06 00:00:23,268,4.3737,,,,32.1,2026-02-05 21:00:23
1,Sitrack,0000071,701030000,0,DON GAETANO,-41.959781646728516,-61.82550811767578,2026-02-06 00:00:27,294,5.4536,,,,32.1,2026-02-05 21:00:27
1,Sitrack,0000071,701030000,0,DON GAETANO,-41.96017837524414,-61.849098205566406,2026-02-06 00:15:27,262,4.3737,,,,32.1,2026-02-05 21:15:27
1,Sitrack,0000071,701030000,0,DON GAETANO,-41.95988082885742,-61.873050689697266,2026-02-06 00:30:27,268,5.7775,,,,32.1,2026-02-05 21:30:27
1,Sitrack,0000071,701030000,0,DON GAETANO,-41.95880126953125,-61.89720916748047,2026-02-06 00:45:27,276,5.0756,,,,32.1,2026-02-05 21:45:27
3,Elec. Naval,0000141,701000729,0,NDDANDDU,-47.063666666666667,-62.615833333333333,2026-02-06 00:07:00,250,2.2,005,08466,046,28.2,2026-02-05 21:07:00
3,Elec. Naval,0000141,701000729,0,NDDANDDU,-47.067833333333333,-62.628,2026-02-06 00:22:00,260,1.1,005,08466,046,28.2,2026-02-05 21:22:00
3,Elec. Naval,0000141,701000729,0,NDDANDDU,-47.072833333333333,-62.6405,2026-02-06 00:37:00,220,2.2,005,08466,046,28.2,2026-02-05 21:37:00
3,Elec. Naval,0000141,701000729,0,NDDANDDU,-47.078,-62.652833333333333,2026-02-06 00:52:00,215,2.2,005,08466,046,28.2,2026-02-05 21:52:00
3,Elec. Naval,0000142,701000509,0,ARGENTINO,-38.0475,-57.537166666666667,2026-02-06 00:06:00,275,0,005,08466,071,33.77,2026-02-05 21:06:00
3,Elec. Naval,0000142,701000509,0,ARGENTINO,-38.0475,-57.537166666666667,2026-02-06 00:21:00,275,0,005,08466,071,33.77,2026-02-05 21:21:00
3,Elec. Naval,0000142,701000509,0,ARGENTINO,-38.0475,-57.537166666666667,2026-02-06 00:36:00,275,0,005,08466,071,33.77,2026-02-05 21:36:00
3,Elec. Naval,0000142,701000509,0,ARGENTINO,-38.0475,-57.537166666666667,2026-02-06 00:51:00,275,0,005,08466,071,33.77,2026-02-05 21:51:00
3,Elec. Naval,0000143,701000307,0,LEAL,-38.049166666666667,-57.536166666666667,2026-02-06 00:09:00,70,0,005,08466,200,27.45,2026-02-05 21:09:00
3,Elec. Naval,0000143,701000307,0,LEAL,-38.049166666666667,-57.536166666666667,2026-02-06 00:24:00,70,0,005,08466,200,27.45,2026-02-05 21:24:00
3,Elec. Naval,0000143,701000307,0,LEAL,-38.049166666666667,-57.536166666666667,2026-02-06 00:39:00,70,0,005,08466,200,27.45,2026-02-05 21:39:00
3,Elec. Naval,0000143,701000307,0,LEAL,-38.049166666666667,-57.536166666666667,2026-02-06 00:54:00,70,0,005,08466,200,27.45,2026-02-05 21:54:00
3,Elec. Naval,0000144,701000711,0,VERAZ,-38.048833333333333,-57.538833333333333,2026-02-06 00:08:00,10,0,005,08466,021,27.45,2026-02-05 21:08:00
3,Elec. Naval,0000144,701000711,0,VERAZ,-38.048833333333333,-57.538833333333333,2026-02-06 00:23:00,5,0,005,08466,021,27.45,2026-02-05 21:23:00
3,Elec. Naval,0000144,701000711,0,VERAZ,-38.048833333333333,-57.538833333333333,2026-02-06 00:38:00,5,0,005,08466,021,27.45,2026-02-05 21:38:00
3,Elec. Naval,0000144,701000711,0,VERAZ,-38.048833333333333,-57.538833333333333,2026-02-06 00:53:00,5,0,005,08466,021,27.45,2026-02-05 21:53:00
1,Sitrack,0000174,701045000,0,VERDEL,-38.788848876953125,-62.275230407714844,2026-02-06 00:11:02,110,0,,,,71.7,2026-02-05 21:11:02
1,Sitrack,0000174,701045000,0,VERDEL,-38.78881072998047,-62.275230407714844,2026-02-06 00:26:02,110,0,,,,71.7,2026-02-05 21:26:02
1,Sitrack,0000174,701045000,0,VERDEL,-38.78879928588867,-62.275230407714844,2026-02-06 00:41:02,110,0,,,,71.7,2026-02-05 21:41:02
1,Sitrack,0000174,701045000,0,VERDEL,-38.788761138916016,-62.27532958984375,2026-02-06 00:55:39,338,0,,,,71.7,2026-02-05 21:55:39
1,Sitrack,0000174,701045000,0,VERDEL,-38.78881072998047,-62.275211334228516,2026-02-06 00:56:02,110,0,,,,71.7,2026-02-05 21:56:02
1,Sitrack,0000175,701031000,0,ANABELLA M,42.23093032836914,-8.750659942626953,2026-02-06 00:01:12,206,0,,,,64.8,2026-02-05 21:01:12
1,Sitrack,0000175,701031000,0,ANABELLA M,42.23093032836914,-8.750679969787598,2026-02-06 00:16:12,206,0,,,,64.8,2026-02-05 21:16:12
1,Sitrack,0000175,701031000,0,ANABELLA M,42.23094940185547,-8.750650405883789,2026-02-06 00:31:12,206,0,,,,64.8,2026-02-05 21:31:12
1,Sitrack,0000175,701031000,0,ANABELLA M,42.23094940185547,-8.75059986114502,2026-02-06 00:46:12,206,0,,,,64.8,2026-02-05 21:46:12
1,Sitrack,0000176,701023000,0,CAROLINA P,-42.73524856567383,-65.01959991455078,2026-02-06 00:03:26,58,0.054,,,,71.6,2026-02-05 21:03:26
3,Elec. Naval,0000176,701023000,0,CAROLINA P,-42.735333333333333,-65.019666666666667,2026-02-06 00:05:00,140,0,005,08473,056,71.6,2026-02-05 21:05:00
1,Sitrack,0000176,701023000,0,CAROLINA P,-42.7352294921875,-65.01957702636719,2026-02-06 00:18:26,58,0.054,,,,71.6,2026-02-05 21:18:26
3,Elec. Naval,0000176,701023000,0,CAROLINA P,-42.735333333333333,-65.019666666666667,2026-02-06 00:20:00,140,0,005,08473,056,71.6,2026-02-05 21:20:00
1,Sitrack,0000176,701023000,0,CAROLINA P,-42.73521041870117,-65.01956176757812,2026-02-06 00:33:26,112,0,,,,71.6,2026-02-05 21:33:26
3,Elec. Naval,0000176,701023000,0,CAROLINA P,-42.735333333333333,-65.019666666666667,2026-02-06 00:35:00,275,0,005,08473,056,71.6,2026-02-05 21:35:00
