Buque;Matricula;EMPRESA;Tipo Buque;Dias marea Esti.;Fax Empresa;Localidad;Propietario;Correo Empresa ;AGENCIA MARITIMA;Telefono;Mail;Telefono Armador 
7 de Diciembre;;;fresquero;30;;Mar del Plata;;;Consultora Maritima;4895032;operacionesconsultoramaritima@gmail.com;4895032 -Emanuel 155597896
ACRUX;03086A;;tangonero;30;;;2do_Propietario;;;;;
ACRUX;03086;DE ANGELIS Y LOGGHE S.A.;tangonero;30;;Mar del Plata;;;;;;
ALDEBARAN;01741A;ROTELLO 1741 S.A.;fresquero;30;489-2873;Mar del Plata;2do_Propietario;;;;;
ALDEBARAN;01741;PESQUERA SAN ROQUE;fresquero;30;480-0573;Mar del Plata;;;;;;
ALTALENA;0181;MARONTI  S.A.;fresquero;30;;Mar del Plata;;;Agencia Simonazzi ;4800005;agenciasimonazzi@hotmail.com;
ALVAREZ ENTRENA I;02454;CONARPESA  S.A.;tangonero;30;0280-445-1731 / 445-4536;Puerto Madryn;;;;;;
ALVAREZ ENTRENA II;02465;CONARPESA  S.A.;tangonero;30;0280-445-1731 / 445-4536;Puerto Madryn;;;;;;
ALVAREZ ENTRENA III;02379;CONARPESA  S.A.;tangonero;30;0280-445-1731 / 445-4536;Puerto Madryn;;;;;;
ALVAREZ ENTRENA IV;02635;CONARPESA  S.A.;tangonero;30;0280-445-1731 / 445-4536;Puerto Madryn;;;;;;
ALVAREZ ENTRENA VI;01;CONARPESA  S.A.;tangonero;30;0280-445-1731 / 445-4536;Puerto Madryn;;;;;;
AMBITION;01324;PESQUERA TRES MARIAS  S.A.;fresquero;30;480-0336;Mar del Plata;;;;;;
ANITA ;3;SOLIMENO;fresquero;;;Mar del Plata;;;;;;
ANA III;278;POSEIDON  S.A.;tangonero;30;0280-445-7786;Puerto Madryn;;;;;;
ANABELLA  M;0175;PESCAPUERTA ARGENTINA  S.A.;cong_merlucero;60;0280-445-4407;Puerto Madryn;;;;;;
ANDRES JORGE;1065;MARONTI  S.A.;fresquero;30;;Mar del Plata;2do_Propietario;Noelia -  223-156047118;;;;
ANGELUS;01953;PESQUERA CRUZ DEL SUR  S.A.;potero;40;011-4784-1760;Ciudad Autónoma de Buenos Aires;;;;;;
ANITA ALVAREZ;02138;CONARPESA  S.A.;tangonero;30;0280-445-1731 / 445-4536;Puerto Madryn;;;;;;
ANTARTIC  I;0232;ESTREMAR  S.A.;palangrero;60;011-6533-7853 / 4345-1102;Ciudad Autónoma de Buenos Aires;;;;;;
ANTARTIC II;0263;ESTREMAR  S.A.;palangrero;60;011-6533-7853 / 4345-1102;Ciudad Autónoma de Buenos Aires;;;;;;
ANTARTIC III;0262;ESTREMAR  S.A.;palangrero;60;011-6533-7853 / 4345-1102;Ciudad Autónoma de Buenos Aires;;;;;;
ANTARTIDA;0678;IBERCONSA  DE ARGENTINA  S.A.;cong_merlucero;60;0280-445-4324;Puerto Madryn;;;Servicio Maritimo Integral;4891227;serviciosmaritimosmdq@gmail.com;
ANTONINO;0877;AGLIPESCA  S.A.;fresquero;30;480-2886;Mar del Plata;;;;;;
ANTONIO ALVAREZ;01429;CONARPESA  S.A.;tangonero;30;0280-445-1731 / 445-4536;Puerto Madryn;;;;;;
API II;0679;IBERCONSA  DE ARGENTINA  S.A.;cong_merlucero;60;0280-445-4324;Puerto Madryn;;;;;;
API IV;0680;IBERCONSA  DE ARGENTINA  S.A.;cong_merlucero;60;0280-445-4324;Puerto Madryn;;;;;;
API V;02781;IBERCONSA  DE ARGENTINA  S.A.;cong_merlucero;60;0280-445-4324;Puerto Madryn;;;;;;
API VI;02812;IBERCONSA  DE ARGENTINA  S.A.;tangonero;40;0280-445-4324;Puerto Madryn;;;;;;
API VII;03081;IBERCONSA  DE ARGENTINA  S.A.;cong_merlucero;60;0280-445-4324;Puerto Madryn;;;;;;
ARBUMASA  X;6183;ARBUMASA  S.A.;tangonero;30;0297-487-2807 / 444-5338 / 444-1201;Puerto Deseado;;;;;;
ARBUMASA XIX;06440;ARBUMASA  S.A.;tangonero;30;0297-487-2807 / 444-5338 / 444-1201;Puerto Deseado;;;;;;
ARBUMASA  XVII;0216;ARBUMASA  S.A.;tangonero;30;0297-487-2807 / 444-5338 / 444-1201;Puerto Deseado;;;;;;
ARBUMASA XIV;0213;ARBUMASA  S.A.;tangonero;30;0297-487-2807 / 444-5338 / 444-1201;Puerto Deseado;;;;;;
ARBUMASA XV;214;ARBUMASA  S.A.;tangonero;30;;;;;;;;
ARBUMASA XVI;0215;ARBUMASA  S.A.;tangonero;30;0297-487-2807 / 444-5338 / 444-1201;Puerto Deseado;;;;;;
ARBUMASA XVIII;0217;ARBUMASA  S.A.;tangonero;30;0297-487-2807 / 444-5338 / 444-1201;Puerto Deseado;;;Agencia Maritima Solvox ;4893758;miguel-visoso@hotmail.com;Miguel o Lorena 154062254
ARBUMASA XXIX;02561A;MARONTI  S.A.;potero;40;;Mar del Plata;2do_Propietario;;Agencia Simonazzi ;4800005;agenciasimonazzi@hotmail.com;
ARBUMASA XXIX;02561;BAL - FISH  S.A.;potero;40;489-6522;Mar del Plata;;;;;;
ARBUMASA XXVI;01958;ARBUMASA  S.A.;potero;40;0297-487-2807 / 444-5338 / 444-1201;Puerto Deseado;;;Agencia Maritima Solvox ;4893758;miguel-visoso@hotmail.com;Miguel o Lorena 154062254
ARBUMASA XXVII;02057;BAL - FISH  S.A.;potero;40;489-6522;Mar del Plata;;;;;;
ARBUMASA XXVIII;02569;ARBUMASA  S.A.;potero;40;0297-487-2807 / 444-5338 / 444-1201;Puerto Deseado;;;;;;
ARCANGEL;79;CALME  S.A.;potero;40;480-3545;Mar del Plata;;;;;;
ARESIT;02265A;PESQUERA DESEADO  S.A.;tangonero;30;0297-487-0884 / 0327 / 2407;Puerto Deseado;2do_Propietario;;;;;
