Nombre,Activo,Código,Eslora,Flota,Matrícula,Potencia en HP,Tipo de flota
SAGRARIO,Yes,0,"19,94","COSTEROS, FRESQUERO",02973,"591,9",21
ANTONELLA,Yes,1097,"16,25","COSTEROS, FRESQUERO",0033,"355,7",21
ALVAREZ ENTRENA IV,Yes,0,"17,2","COSTEROS, FRESQUERO",02761,400,21
CALETA PAULA,Yes,1248,"15,3","COSTEROS, FRESQUERO",02355,"220,1",21
DON TOMASSO,Yes,1468,17,"COSTEROS, FRESQUERO",02310,"355,7",21
MARIA SUSANA,Yes,2004,"15,3","COSTEROS, FRESQUERO",02103,"222,8",21
DON VICENTE VUOSO,Yes,1474,"20,69","COSTEROS, FRESQUERO",5439,"536,9",21
CALABRIA,Yes,1245,"19,63","COSTEROS, FRESQUERO",5828,"265,8",21
DIEGO FERNANDO,Yes,1401,"17,95","COSTEROS, FRESQUERO",02416,"225,5",21
QUEQUEN SALADO,Yes,2277,"19,45","COSTEROS, FRESQUERO",5066,"271,1",21
DON BOCHA,Yes,0,"17,98","COSTEROS, FRESQUERO",02921,"591,9",21
ALTAR,Yes,0,"19,94","COSTEROS, FRESQUERO",02906,"542,3",21
MISAL,Yes,0,"19,94","COSTEROS, FRESQUERO",02972,"591,9",21
SOFIA B,Yes,0,"19,65","COSTEROS, FRESQUERO",02679,"546,3",21
DOÑA ALFIA,Yes,1483,"20,7","COSTEROS, FRESQUERO",5274,"425,5",21
EURO II,Yes,1582,"20,1","COSTEROS, FRESQUERO",02314,"425,5",21
BAFFETTA,Yes,0,"19,45","COSTEROS, FRESQUERO",02635,"295,3",21
ANAVE,Yes,0,"18,08","COSTEROS, FRESQUERO",02701,"425,5",21
DON GIULIANO,Yes,1431,"17,1","COSTEROS, FRESQUERO",02025,"220,1",21
FRANCO JOSE,Yes,0,"19,94","COSTEROS, FRESQUERO",02984,"590,6",21
VERONICA ALEJANDRA N,Yes,2606,"15,3","COSTEROS, FRESQUERO",02292,"222,8",21
CALIZ,Yes,0,"20,2","COSTEROS, FRESQUERO",02809,545,21
TRITON I (02821),Yes,0,"19,93","COSTEROS, FRESQUERO",02821,"591,9",21
PERLA NEGRA,Yes,0,"15,9","COSTEROS, FRESQUERO",03053,0,21
DESEADO,Yes,1400,19,"COSTEROS, FRESQUERO",6005,"300,7",21
DON RAUL,Yes,0,"12,25","COSTEROS, FRESQUERO",02609,"295,3",21
MIRTA R,Yes,0,"15,5","COSTEROS, FRESQUERO",02627,"182,6",21
SANTO VITO DI MAZZARA,Yes,0,"17,56","COSTEROS, FRESQUERO",02764,"534,2",21
PACHACA,Yes,2180,"17,64","COSTEROS, FRESQUERO",02572,"319,5",21
ENRIQUE F,Yes,1549,"16,9","COSTEROS, FRESQUERO",02360,"181,2",21
SAN ADRIAN,Yes,2337,"14,4","FRESQUERO, RADA O RIA",4370,"161,1",11
VIRGEN DEL MILAGRO,Yes,2725,"19,93","COSTEROS, FRESQUERO",02767,"379,9",21
DON JOSE DI BONA,Yes,1435,"19,85","COSTEROS, FRESQUERO",02241,"300,7",21
CARMEN A,Yes,1269,"15,3","COSTEROS, FRESQUERO",02045,"222,8",21
MADRE MARIA,Yes,0,"19,94","COSTEROS, FRESQUERO",03101,0,21
MADRE DIVINA,Yes,1915,"26,12","ALTURA, FRESQUERO",5005,"518,1",31
BAGUAL,Yes,0,"19,94","COSTEROS, FRESQUERO",03078,0,21
MARIA DEL VALLE,Yes,1986,"16,29","COSTEROS, FRESQUERO",02126,196,21
TRABAJAMOS,Yes,2726,"19,94","COSTEROS, FRESQUERO",02904,"591,9",21
MADONNA DI GIARDINI,Yes,1911,"16,15","FRESQUERO, RADA O RIA",4569,"335,6",11
ROSA MISTICA I,Yes,2323,"16,65","COSTEROS, FRESQUERO",01957,"440,3",21
ANA III,Yes,1069,"19,95","COSTEROS, FRESQUERO",5962,443,21
SANTA MARIA MADRE,Yes,0,"20,5","COSTEROS, FRESQUERO",02615,553,21
SIEMPRE DON VICENTE,Yes,2706,"18,94","COSTEROS, FRESQUERO",02654,"340,9",21
PATAGONIA,Yes,2196,"30,95","ALTURA, FRESQUERO",4645,"660,4",31
SAN BENEDETTO,Yes,0,"15,38","COSTEROS, FRESQUERO",02643,"220,1",21
SANTORINI,Yes,0,"19,94","COSTEROS, FRESQUERO",03072,0,21
GALA,Yes,0,"15,2","COSTEROS, FRESQUERO",02722,"256,4",21
FRANCESCA,Yes,0,"20,38","COSTEROS, FRESQUERO",03107,0,21
EL TEHUELCHE,Yes,1527,"17,4","COSTEROS, FRESQUERO",02565,"346,3",21
VAMOS A PROBAR I,Yes,2598,"18,57","COSTEROS, FRESQUERO",02532,"365,1",21
SIEMPRE DON CONRADO,Yes,0,"19,4","COSTEROS, FRESQUERO",02687,"335,6",21
AMERICA I,Yes,1061,"23,09","COSTEROS, FRESQUERO",6268,"542,3",21
BRISSA II,Yes,0,0,"FRESQUERO, RADA O RIA",02454M,0,11
GIARDINI,Yes,0,"12,15","FRESQUERO, RADA O RIA",4144,"140,9",11
OSIRIS,Yes,0,0,"FRESQUERO, RADA O RIA",02686M,0,11
VALENTINA,Yes,0,0,"FRESQUERO, RADA O RIA",02727M,0,11
LA PISCIANA,Yes,1841,"5,31","COSTEROS, FRESQUERO",1535,40,21
CANDE,Yes,0,0,"FRESQUERO, RADA O RIA",02150M,0,11
PUNTA PARDELAS,Yes,0,"19,94","ALTURA, FRESQUERO",03060,0,31
MARIO R,Yes,2016,"22,6","COSTEROS, FRESQUERO",6139,"424,2",21
FIESTA,Yes,1602,"18,8","COSTEROS, FRESQUERO",6168,"375,8",21
DON ESCIPION,Yes,1423,"23,6","COSTEROS, FRESQUERO",02322,"540,9",21
CANAL DE BEAGLE,Yes,0,"23,9","ALTURA, FRESQUERO",5409,"500,7",31
VIENTO NORTE,Yes,2781,"15,25","FRESQUERO, RADA O RIA",02900,"275,2",11
EL FARO,Yes,1508,"22,27","COSTEROS, FRESQUERO",6267,"540,9",21
LA JULIA,Yes,1819,"13,9","FRESQUERO, RADA O RIA",3955,"179,9",11
FE EN DIOS,Yes,1589,"17,31","COSTEROS, FRESQUERO",6043,"425,5",21
TESON,Yes,2552,"25,97","ALTURA, FRESQUERO",6079,"765,1",31
ANGELA,Yes,1082,"15,7","FRESQUERO, RADA O RIA",3149,"189,3",11
LA CRUZ DEL SUD,Yes,1800,"14,62","FRESQUERO, RADA O RIA",4095,200,11
CIUDAD DE DIAMANTE,Yes,1323,"17,45","COSTEROS, FRESQUERO",6272,"350,3",21
DON JOSE,Yes,1434,"16,49","COSTEROS, FRESQUERO",6044,"268,5",21
LIBERTAD,Yes,1870,"18,2","COSTEROS, FRESQUERO",4567,"526,2",21
INDOMABLE,Yes,1722,"16,1","COSTEROS, FRESQUERO",02347,"330,2",21
UR ERTZA,Yes,2587,51,"ALTURA, FRESQUERO",6508,"1481,9",31
JUAN MARIO,Yes,1757,"15,4","FRESQUERO, RADA O RIA",02467,"300,7",11
SAN GIUSEPPE II,Yes,2361,"19,9","COSTEROS, FRESQUERO",02335,"162,4",21
NUEVO RUMBO,Yes,2131,"17,95","COSTEROS, FRESQUERO",6387,"402,7",21
NUEVA NEPTUNIA I,Yes,0,20,"COSTEROS, FRESQUERO",02634,"402,7",21
