BUQUECOD;BUQUE;TIPO_FLTA;FLOTA;ESLORA;POTHP;MATBUQ
0;SAGRARIO;21;COSTEROS, FRESQUERO;19,94;591,9;02973
1097;ANTONELLA;21;COSTEROS, FRESQUERO;16,25;355,7;0033
0;ALVAREZ ENTRENA IV;21;COSTEROS, FRESQUERO;17,20;400,0;02761
1248;CALETA PAULA;21;COSTEROS, FRESQUERO;15,30;220,1;02355
1468;DON TOMASSO;21;COSTEROS, FRESQUERO;17,00;355,7;02310
2004;MARIA SUSANA;21;COSTEROS, FRESQUERO;15,30;222,8;02103
1474;DON VICENTE VUOSO;21;COSTEROS, FRESQUERO;20,69;536,9;5439
1245;CALABRIA;21;COSTEROS, FRESQUERO;19,63;265,8;5828
1401;DIEGO FERNANDO;21;COSTEROS, FRESQUERO;17,95;225,5;02416
2277;QUEQUEN SALADO;21;COSTEROS, FRESQUERO;19,45;271,1;5066
0;DON BOCHA;21;COSTEROS, FRESQUERO;17,98;591,9;02921
0;ALTAR;21;COSTEROS, FRESQUERO;19,94;542,3;02906
0;MISAL;21;COSTEROS, FRESQUERO;19,94;591,9;02972
0;SOFIA B;21;COSTEROS, FRESQUERO;19,65;546,3;02679
1483;DOÐA ALFIA;21;COSTEROS, FRESQUERO;20,70;425,5;5274
1582;EURO II;21;COSTEROS, FRESQUERO;20,10;425,5;02314
0;BAFFETTA;21;COSTEROS, FRESQUERO;19,45;295,3;02635
0;ANAVE;21;COSTEROS, FRESQUERO;18,08;425,5;02701
1431;DON GIULIANO;21;COSTEROS, FRESQUERO;17,10;220,1;02025
0;FRANCO JOSE;21;COSTEROS, FRESQUERO;19,94;590,6;02984
2606;VERONICA ALEJANDRA N;21;COSTEROS, FRESQUERO;15,30;222,8;02292
0;CALIZ;21;COSTEROS, FRESQUERO;20,20;545,0;02809
0;TRITON I (02821);21;COSTEROS, FRESQUERO;19,93;591,9;02821
0;PERLA NEGRA;21;COSTEROS, FRESQUERO;15,90;0,0;03053
1400;DESEADO;21;COSTEROS, FRESQUERO;19,00;300,7;6005
0;DON RAUL;21;COSTEROS, FRESQUERO;12,25;295,3;02609
0;MIRTA R;21;COSTEROS, FRESQUERO;15,50;182,6;02627
0;SANTO VITO DI MAZZARA;21;COSTEROS, FRESQUERO;17,56;534,2;02764
2180;PACHACA;21;COSTEROS, FRESQUERO;17,64;319,5;02572
1549;ENRIQUE F;21;COSTEROS, FRESQUERO;16,90;181,2;02360
2337;SAN ADRIAN;11;RADA O RIA, FRESQUERO;14,40;161,1;4370
2725;VIRGEN DEL MILAGRO;21;COSTEROS, FRESQUERO;19,93;379,9;02767
1435;DON JOSE DI BONA;21;COSTEROS, FRESQUERO;19,85;300,7;02241
1269;CARMEN A;21;COSTEROS, FRESQUERO;15,30;222,8;02045
0;MADRE MARIA;21;COSTEROS, FRESQUERO;19,94;0,0;03101
1915;MADRE DIVINA;31;ALTURA, FRESQUERO;26,12;518,1;5005
0;BAGUAL;21;COSTEROS, FRESQUERO;19,94;0,0;03078
1986;MARIA DEL VALLE;21;COSTEROS, FRESQUERO;16,29;196,0;02126
2726;TRABAJAMOS;21;COSTEROS, FRESQUERO;19,94;591,9;02904
1911;MADONNA DI GIARDINI;11;RADA O RIA, FRESQUERO;16,15;335,6;4569
2323;ROSA MISTICA I;21;COSTEROS, FRESQUERO;16,65;440,3;01957
1069;ANA III;21;COSTEROS, FRESQUERO;19,95;443,0;5962
0;SANTA MARIA MADRE;21;COSTEROS, FRESQUERO;20,50;553,0;02615
2706;SIEMPRE DON VICENTE;21;COSTEROS, FRESQUERO;18,94;340,9;02654
2196;PATAGONIA;31;ALTURA, FRESQUERO;30,95;660,4;4645
0;SAN BENEDETTO;21;COSTEROS, FRESQUERO;15,38;220,1;02643
0;SANTORINI;21;COSTEROS, FRESQUERO;19,94;0,0;03072
0;GALA;21;COSTEROS, FRESQUERO;15,20;256,4;02722
0;FRANCESCA;21;COSTEROS, FRESQUERO;20,38;0,0;03107
1527;EL TEHUELCHE;21;COSTEROS, FRESQUERO;17,40;346,3;02565
2598;VAMOS A PROBAR I;21;COSTEROS, FRESQUERO;18,57;365,1;02532
0;SIEMPRE DON CONRADO;21;COSTEROS, FRESQUERO;19,40;335,6;02687
1061;AMERICA I;21;COSTEROS, FRESQUERO;23,09;542,3;6268
0;BRISSA II;11;RADA O RIA, FRESQUERO;0,00;0,0;02454M
0;GIARDINI;11;RADA O RIA, FRESQUERO;12,15;140,9;4144
0;OSIRIS;11;RADA O RIA, FRESQUERO;0,00;0,0;02686M
0;VALENTINA;11;RADA O RIA, FRESQUERO;0,00;0,0;02727M
1841;LA PISCIANA;21;COSTEROS, FRESQUERO;5,31;40,0;1535
0;CANDE;11;RADA O RIA, FRESQUERO;0,00;0,0;02150M
0;PUNTA PARDELAS;31;ALTURA, FRESQUERO;19,94;0,0;03060
2016;MARIO R;21;COSTEROS, FRESQUERO;22,60;424,2;6139
1602;FIESTA;21;COSTEROS, FRESQUERO;18,80;375,8;6168
1423;DON ESCIPION;21;COSTEROS, FRESQUERO;23,60;540,9;02322
0;CANAL DE BEAGLE;31;ALTURA, FRESQUERO;23,90;500,7;5409
2781;VIENTO NORTE;11;RADA O RIA, FRESQUERO;15,25;275,2;02900
1508;EL FARO;21;COSTEROS, FRESQUERO;22,27;540,9;6267
1819;LA JULIA;11;RADA O RIA, FRESQUERO;13,90;179,9;3955
1589;FE EN DIOS;21;COSTEROS, FRESQUERO;17,31;425,5;6043
2552;TESON;31;ALTURA, FRESQUERO;25,97;765,1;6079
1082;ANGELA;11;RADA O RIA, FRESQUERO;15,70;189,3;3149
1800;LA CRUZ DEL SUD;11;RADA O RIA, FRESQUERO;14,62;200,0;4095
1323;CIUDAD DE DIAMANTE;21;COSTEROS, FRESQUERO;17,45;350,3;6272
1434;DON JOSE;21;COSTEROS, FRESQUERO;16,49;268,5;6044
1870;LIBERTAD;21;COSTEROS, FRESQUERO;18,20;526,2;4567
1722;INDOMABLE;21;COSTEROS, FRESQUERO;16,10;330,2;02347
2587;UR ERTZA;31;ALTURA, FRESQUERO;51,00;1481,9;6508
1757;JUAN MARIO;11;RADA O RIA, FRESQUERO;15,40;300,7;02467
2361;SAN GIUSEPPE II;21;COSTEROS, FRESQUERO;19,90;162,4;02335
2131;NUEVO RUMBO;21;COSTEROS, FRESQUERO;17,95;402,7;6387
0;NUEVA NEPTUNIA I;21;COSTEROS, FRESQUERO;20,00;402,7;02634
1374;CRISTO REDENTOR;31;ALTURA, FRESQUERO;31,00;641,6;4680
